 Wavelength  FilterTrans          PCE 
      0.804     0.893117     0.611671 
      0.805     0.905565      0.61987 
      0.806     0.897031     0.613498 
      0.807     0.880671     0.601986 
      0.808     0.850257      0.58069 
      0.809     0.829965     0.566306 
       0.81      0.81409      0.55517 
      0.811     0.807657     0.550225 
      0.812     0.811454     0.552374 
      0.813     0.816558      0.55538 
      0.814     0.813233     0.552552 
      0.815     0.805295     0.546635 
      0.816     0.795825     0.539828 
      0.817     0.794306     0.538239 
      0.818     0.807019     0.546324 
      0.819     0.833528      0.56374 
       0.82      0.85949     0.580803 
      0.821     0.886699     0.598598 
      0.822     0.902411     0.608646 
      0.823     0.912851     0.615216 
      0.824     0.908123     0.611539 
      0.825       0.8941     0.601493 
      0.826     0.878477     0.590503 
      0.827     0.865341     0.581201 
      0.828     0.860034     0.577184 
      0.829     0.863133     0.578862 
       0.83     0.865251     0.579804 
      0.831     0.865947     0.579629 
      0.832     0.865795     0.578984 
      0.833      0.85784     0.573196 
      0.834     0.844666     0.563992 
      0.835     0.836182     0.557703 
      0.836     0.829632     0.552948 
      0.837     0.834214     0.555542 
      0.838      0.84037     0.559122 
      0.839     0.846818     0.563015 
       0.84     0.849443     0.564359 
      0.841     0.853072     0.566183 
      0.842     0.862252     0.571925 
      0.843     0.865193     0.573454 
      0.844     0.879981     0.582894 
      0.845     0.887617     0.587455 
      0.846     0.890521      0.58901 
      0.847     0.902488     0.596495 
      0.848     0.899627     0.594307 
      0.849     0.908965     0.600039 
       0.85     0.912041     0.601632 
      0.851     0.915201     0.603512 
      0.852     0.914591     0.602724 
      0.853     0.910001     0.599315 
      0.854     0.899554     0.592187 
      0.855     0.889493     0.585262 
      0.856     0.882735     0.580516 
      0.857      0.87468     0.574921 
      0.858     0.869102     0.571074 
      0.859     0.861184     0.565644 
       0.86     0.852895      0.55998 
      0.861     0.843274     0.553477 
      0.862     0.835518      0.54817 
      0.863     0.832222     0.545822 
      0.864     0.839377     0.550328 
      0.865     0.846269      0.55477 
      0.866     0.854108     0.559717 
      0.867     0.866993      0.56804 
      0.868     0.877476     0.574828 
      0.869      0.89299     0.584881 
       0.87     0.905857     0.593225 
      0.871     0.913026      0.59783 
      0.872     0.918143     0.601212 
      0.873     0.918922     0.601631 
      0.874     0.915723     0.599568 
      0.875     0.910128     0.595828 
      0.876     0.899133     0.588738 
      0.877     0.888305     0.581634 
      0.878     0.875968      0.57366 
      0.879     0.866738      0.56755 
       0.88      0.86537     0.566698 
      0.881     0.864324     0.566267 
      0.882     0.856103     0.561017 
      0.883     0.839307     0.550258 
      0.884     0.826099     0.541736 
      0.885     0.813083     0.533399 
      0.886     0.800774     0.525628 
      0.887     0.795051     0.522172 
      0.888     0.793389     0.521173 
      0.889     0.804867     0.529018 
       0.89     0.818851     0.538519 
      0.891     0.832044     0.547375 
      0.892     0.849849     0.559296 
      0.893     0.877222     0.577629 
      0.894     0.897561     0.591294 
      0.895     0.899142     0.592598 
      0.896     0.899664     0.593347 
      0.897     0.890979     0.587888 
      0.898     0.883662     0.583394 
      0.899      0.87616     0.578707 
        0.9     0.866088     0.572398 
      0.901     0.855429     0.565818 
      0.902     0.842188     0.557459 
      0.903     0.828226     0.548667 
      0.904     0.815694     0.540688 
      0.905     0.809362     0.536874 
      0.906     0.804254     0.533922 
      0.907     0.799732     0.531424 
      0.908     0.800157      0.53214 
      0.909     0.802836     0.534254 
       0.91     0.811037     0.540262 
      0.911     0.820744     0.547257 
      0.912      0.83302     0.555992 
      0.913     0.846923     0.565692 
      0.914      0.86285      0.57696 
      0.915     0.880822     0.589483 
      0.916     0.895049     0.599526 
      0.917     0.909865     0.610097 
      0.918     0.921417     0.618516 
      0.919     0.927669     0.623253 
       0.92     0.931237     0.626346 
      0.921     0.932868     0.628156 
      0.922     0.931945     0.628157 
      0.923     0.930176     0.627691 
      0.924     0.919227     0.620949 
      0.925     0.905737      0.61259 
      0.926     0.897425     0.607521 
      0.927     0.887458     0.601467 
      0.928     0.879972     0.597058 
      0.929     0.873032     0.593107 
       0.93     0.868337     0.590528 
      0.931      0.86572     0.589484 
      0.932     0.864055     0.588849 
      0.933     0.862601     0.588666 
      0.934     0.860682     0.587852 
      0.935     0.858079     0.586705 
      0.936     0.858486     0.587727 
      0.937     0.858665     0.588405 
      0.938     0.860262     0.590115 
      0.939     0.865739     0.594638 
       0.94        0.875     0.601625 
      0.941     0.885041     0.609185 
      0.942     0.896212     0.617656 
      0.943     0.909348     0.627431 
      0.944     0.919539     0.635077 
      0.945     0.925121     0.639807 
      0.946      0.92932     0.643331 
      0.947     0.928514     0.643524 
      0.948     0.924867      0.64173 
      0.949     0.920177      0.63923 
       0.95     0.913179     0.635093 
      0.951     0.907713       0.6319 
      0.952     0.904228     0.630116 
      0.953     0.900549     0.628125 
      0.954     0.893716     0.624006 
      0.955      0.88678     0.619879 
      0.956     0.882755     0.617704 
      0.957      0.87884     0.615588 
      0.958     0.876582     0.614638 
      0.959     0.879317     0.617131 
       0.96     0.882296     0.619858 
      0.961     0.886662     0.623528 
      0.962     0.889028     0.625937 
      0.963     0.892731     0.629101 
      0.964       0.8999     0.634841 
      0.965       0.9093     0.642156 
      0.966     0.920172     0.650537 
      0.967     0.925283     0.654926 
      0.968     0.927967     0.657453 
      0.969     0.931677     0.660793 
       0.97     0.934062     0.663268 
      0.971     0.933199     0.663309 
      0.972     0.931826     0.663015 
      0.973     0.931783     0.663707 
      0.974     0.930897     0.663809 
      0.975     0.930894     0.664539 
      0.976      0.92744     0.662792 
      0.977     0.923857     0.660814 
      0.978     0.916844     0.656518 
      0.979     0.906402     0.649743 
       0.98     0.901217     0.646734 
      0.981     0.900595     0.646946 
      0.982      0.90023     0.647383 
      0.983     0.904792     0.651182 
      0.984     0.914165     0.658516 
      0.985      0.92718     0.668638 
      0.986     0.941462     0.679624 
      0.987     0.951447     0.687444 
      0.988     0.955086     0.690691 
      0.989     0.960379     0.695219 
       0.99     0.958847     0.694724 
      0.991     0.954676     0.692421 
      0.992     0.950403     0.689822 
      0.993     0.945506     0.686924 
      0.994     0.939987     0.683568 
      0.995     0.933425     0.679286 
      0.996     0.927766     0.675864 
      0.997     0.923187     0.673088 
      0.998     0.918419     0.670172 
      0.999     0.913397     0.667061 
        1.0     0.905514     0.661983 
      1.001     0.877657     0.642067 
      1.002     0.818117      0.59905 
      1.003     0.727267     0.533057 
      1.004     0.603887      0.44288 
      1.005      0.47261     0.346956 
      1.006     0.371467     0.272942 
      1.007     0.296752     0.218169 
      1.008     0.237436     0.174738 
      1.009     0.192182     0.141526 
       1.01     0.157495     0.116087 
      1.011     0.131236    0.0968177 
      1.012     0.110342    0.0814557 
      1.013    0.0968202    0.0715379 
      1.014    0.0829644    0.0613459 
      1.015    0.0712997    0.0527618 
      1.016    0.0624009    0.0462115 
      1.017    0.0564349    0.0418301 
      1.018    0.0488414    0.0362219 
      1.019    0.0416585    0.0309249 
       1.02    0.0339347    0.0252077 
      1.021    0.0259439    0.0192887 
      1.022    0.0191611     0.014254 
      1.023    0.0138011    0.0102756 
      1.024   0.00960284   0.00715518 
      1.025   0.00662765   0.00494115 
      1.026   0.00457419   0.00341357 
      1.027   0.00315531   0.00235628 
      1.028   0.00220914   0.00165114 
      1.029   0.00157701   0.00117934 
       1.03   0.00113539   0.00084963 
      1.031  0.000824415  0.000617475 
      1.032  0.000611557  0.000458221 
      1.033  0.000456439  0.000342191 
      1.034   0.00034212  0.000256668 
      1.035   0.00026185   0.00019658 
      1.036  0.000202762  0.000152307 
      1.037  0.000158005  0.000118771 
      1.038   0.00012475  9.38258e-05 
      1.039  9.98331e-05  7.51279e-05 
       1.04  8.05189e-05  6.06408e-05 
      1.041  6.58139e-05   4.9583e-05 
      1.042  5.43294e-05  4.09526e-05 
      1.043  4.56988e-05  3.44651e-05 
      1.044  3.90843e-05  2.94963e-05 
      1.045  3.33876e-05  2.52105e-05 
      1.046  2.92962e-05  2.21304e-05 
      1.047  2.62133e-05  1.98118e-05 
      1.048  2.34167e-05  1.77114e-05 
      1.049  2.17539e-05  1.64592e-05 
       1.05  1.99841e-05  1.51264e-05 
      1.051  1.76658e-05  1.33804e-05 
      1.052  1.62472e-05  1.23113e-05 
      1.053  1.43763e-05  1.09007e-05 
      1.054  1.27065e-05  9.63801e-06 
      1.055  1.25928e-05   9.5559e-06 
      1.056  1.22356e-05  9.29087e-06 
      1.057  1.15469e-05  8.77171e-06 
      1.058  1.11394e-05  8.46764e-06 
      1.059  1.05382e-05  8.01407e-06 
       1.06  1.02926e-05  7.83059e-06 
      1.061  1.00045e-05  7.61487e-06 
      1.062  9.13165e-06  6.95366e-06 
      1.063   8.3886e-06  6.39074e-06 
      1.064  7.88635e-06  6.01165e-06 
      1.065  7.57702e-06  5.77842e-06 
      1.066   7.0637e-06  5.38938e-06 
      1.067  6.94871e-06  5.30403e-06 
      1.068  6.92275e-06    5.286e-06 
      1.069  6.62548e-06  5.06129e-06 
       1.07  6.55279e-06  5.00797e-06 
      1.071   6.3541e-06  4.85817e-06 
      1.072  6.41432e-06  4.90788e-06 
      1.073  6.55928e-06   5.0209e-06 
      1.074  6.11832e-06  4.68532e-06 
      1.075  6.27829e-06  4.81037e-06 
      1.076  6.39938e-06   4.9057e-06 
      1.077  6.81092e-06  5.22379e-06 
      1.078  6.74891e-06  5.17838e-06 
      1.079  6.05811e-06  4.65027e-06 
       1.08  6.30924e-06   4.8461e-06 
      1.081  6.60618e-06  5.07696e-06 
      1.082  6.39522e-06  4.91646e-06 
      1.083  6.15263e-06  4.73205e-06 
      1.084   5.7387e-06  4.41564e-06 
      1.085   5.5964e-06  4.30804e-06 
      1.086  5.85879e-06  4.51188e-06 
      1.087  5.44722e-06   4.1972e-06 
      1.088  5.00442e-06  3.85728e-06 
      1.089  4.66626e-06  3.59899e-06 
       1.09  4.18918e-06  3.23209e-06 
      1.091  4.02891e-06  3.10926e-06 
      1.092  3.86806e-06  2.98615e-06 
      1.093  3.31864e-06  2.56322e-06 
      1.094   3.1682e-06  2.44767e-06 
      1.095   3.2615e-06  2.52041e-06 
      1.096  3.12324e-06   2.4142e-06 
      1.097  3.04882e-06    2.358e-06 
      1.098  2.79153e-06  2.15957e-06 
      1.099  2.62878e-06  2.03397e-06 
        1.1  2.73035e-06  2.11332e-06 
      1.101  2.62306e-06  2.03098e-06 
      1.102   2.5835e-06  2.00066e-06 
      1.103  2.63946e-06  2.04498e-06 
      1.104   2.5715e-06  1.99279e-06 
      1.105  2.41179e-06  1.86952e-06 
      1.106  2.33338e-06   1.8092e-06 
      1.107   2.4032e-06  1.86377e-06 
      1.108  2.32144e-06  1.80122e-06 
      1.109  2.07114e-06  1.60726e-06 
       1.11   1.8119e-06  1.40641e-06 
      1.111  1.57433e-06  1.22214e-06 
      1.112  1.44295e-06  1.12028e-06 
      1.113  1.34663e-06  1.04593e-06 
      1.114  1.23839e-06  9.61969e-07 
      1.115   1.1288e-06   8.7694e-07 
      1.116  1.04395e-06  8.11181e-07 
      1.117  9.28756e-07  7.21674e-07 
      1.118  8.17884e-07  6.35647e-07 
      1.119  8.25143e-07  6.41431e-07 
       1.12  8.21036e-07  6.38293e-07 
      1.121  7.64897e-07  5.94777e-07 
      1.122  6.46286e-07  5.02547e-07 
      1.123   6.5188e-07  5.06939e-07 
      1.124  6.79958e-07  5.28889e-07 
      1.125  7.00454e-07  5.44877e-07 
      1.126  7.65597e-07  5.95551e-07 
      1.127   7.2562e-07  5.64439e-07 
      1.128  7.25679e-07  5.64484e-07 
      1.129  8.34853e-07  6.49461e-07 
       1.13  9.43599e-07  7.34215e-07 
      1.131   1.0373e-06  8.07174e-07 
      1.132  1.37127e-06  1.06691e-06 
      1.133  1.79677e-06  1.39791e-06 
      1.134  2.08459e-06  1.62163e-06 
      1.135  3.11778e-06  2.42603e-06 
      1.136  4.64809e-06  3.61664e-06 
      1.137  5.57167e-06  4.33471e-06 
      1.138  6.44369e-06  5.01289e-06 
      1.139  5.77072e-06  4.48874e-06 
       1.14  3.99472e-06  3.10781e-06 
      1.141  2.51821e-06  1.95888e-06 
      1.142  1.56596e-06  1.21775e-06 
      1.143   9.7677e-07  7.59481e-07 
      1.144  6.71384e-07  5.21865e-07 
